Marker id	Marker name	Length	Predicted length	Percentage identity
gb|GEER01003348.1|	gb|GEER01003348.1| TSA: Camellia reticulata CRD_FL_c52698_g6_i5 transcribed RNA sequence	4814	4814	85.0
gb|GEER01003178.1|	gb|GEER01003178.1| TSA: Camellia reticulata CRD_FL_c52106_g1_i1 transcribed RNA sequence	3236	3236	78.0
gb|GEER01012905.1|	gb|GEER01012905.1| TSA: Camellia reticulata CRD_FL_c48844_g1_i3 transcribed RNA sequence	2347	2347	85.0
gb|GEER01004956.1|	gb|GEER01004956.1| TSA: Camellia reticulata CRD_FR_c30856_g1_i3 transcribed RNA sequence	2796	2796	84.0
gb|GEER01011275.1|	gb|GEER01011275.1| TSA: Camellia reticulata CRD_FB_c39788_g1_i3 transcribed RNA sequence	2350	2350	80.0
gb|GEER01010893.1|	gb|GEER01010893.1| TSA: Camellia reticulata CRD_FB_c38234_g2_i2 transcribed RNA sequence	2068	2068	81.0
gb|GEER01012897.1|	gb|GEER01012897.1| TSA: Camellia reticulata CRD_FL_c48801_g1_i7 transcribed RNA sequence	2309	2309	81.0
gb|GEER01014075.1|	gb|GEER01014075.1| TSA: Camellia reticulata CRD_FL_c52147_g6_i2 transcribed RNA sequence	1642	1642	84.0
gb|GEER01004970.1|	gb|GEER01004970.1| TSA: Camellia reticulata CRD_FR_c30931_g2_i1 transcribed RNA sequence	1242	1242	84.0
gb|GEER01000584.1|	gb|GEER01000584.1| TSA: Camellia reticulata CRD_FB_c35650_g1_i2 transcribed RNA sequence	2166	2166	85.0
gb|GEER01002155.1|	gb|GEER01002155.1| TSA: Camellia reticulata CRD_FL_c44698_g2_i1 transcribed RNA sequence	3271	3271	78.0
gb|GEER01011473.1|	gb|GEER01011473.1| TSA: Camellia reticulata CRD_FB_c42800_g1_i1 transcribed RNA sequence	2070	2070	86.0
gb|GEER01014278.1|	gb|GEER01014278.1| TSA: Camellia reticulata CRD_FL_c52531_g1_i1 transcribed RNA sequence	4271	4271	82.0
gb|GEER01000813.1|	gb|GEER01000813.1| TSA: Camellia reticulata CRD_FB_c38015_g1_i1 transcribed RNA sequence	2180	2180	86.0
gb|GEER01000732.1|	gb|GEER01000732.1| TSA: Camellia reticulata CRD_FB_c37384_g3_i1 transcribed RNA sequence	2026	2026	85.0
gb|GEER01014002.1|	gb|GEER01014002.1| TSA: Camellia reticulata CRD_FL_c52014_g5_i1 transcribed RNA sequence	3068	3068	84.0
gb|GEER01005452.1|	gb|GEER01005452.1| TSA: Camellia reticulata CRD_FR_c33173_g1_i1 transcribed RNA sequence	2728	2728	81.0
gb|GEER01000248.1|	gb|GEER01000248.1| TSA: Camellia reticulata CRD_FB_c29135_g1_i1 transcribed RNA sequence	1539	1539	78.0
gb|GEER01006559.1|	gb|GEER01006559.1| TSA: Camellia reticulata CRD_LB_c27062_g1_i1 transcribed RNA sequence	2234	2234	86.0
gb|GEER01006378.1|	gb|GEER01006378.1| TSA: Camellia reticulata CRD_FR_c8862_g1_i1 transcribed RNA sequence	2635	2635	77.0
gb|GEER01004018.1|	gb|GEER01004018.1| TSA: Camellia reticulata CRD_FR_c21975_g2_i1 transcribed RNA sequence	2057	2057	80.0
gb|GEER01005159.1|	gb|GEER01005159.1| TSA: Camellia reticulata CRD_FR_c31863_g2_i1 transcribed RNA sequence	1815	1815	85.0
gb|GEER01005146.1|	gb|GEER01005146.1| TSA: Camellia reticulata CRD_FR_c31813_g1_i1 transcribed RNA sequence	3330	3330	84.0
gb|GEER01010839.1|	gb|GEER01010839.1| TSA: Camellia reticulata CRD_FB_c37836_g3_i3 transcribed RNA sequence	1260	1260	80.0
gb|GEER01013940.1|	gb|GEER01013940.1| TSA: Camellia reticulata CRD_FL_c51920_g6_i2 transcribed RNA sequence	1282	1282	81.0
gb|GEER01004207.1|	gb|GEER01004207.1| TSA: Camellia reticulata CRD_FR_c2450_g1_i1 transcribed RNA sequence	2216	2216	77.0
gb|GEER01003605.1|	gb|GEER01003605.1| TSA: Camellia reticulata CRD_FR_c11146_g2_i1 transcribed RNA sequence	1983	1983	82.0
gb|GEER01009092.1|	gb|GEER01009092.1| TSA: Camellia reticulata CRD_ML_c85627_g1_i1 transcribed RNA sequence	1945	1945	83.0
gb|GEER01005635.1|	gb|GEER01005635.1| TSA: Camellia reticulata CRD_FR_c33653_g6_i1 transcribed RNA sequence	1250	1250	83.0
gb|GEER01002408.1|	gb|GEER01002408.1| TSA: Camellia reticulata CRD_FL_c47691_g3_i3 transcribed RNA sequence	2066	2066	86.0
gb|GEER01005183.1|	gb|GEER01005183.1| TSA: Camellia reticulata CRD_FR_c31978_g3_i1 transcribed RNA sequence	1746	1746	81.0
gb|GEER01002039.1|	gb|GEER01002039.1| TSA: Camellia reticulata CRD_FL_c43349_g1_i3 transcribed RNA sequence	1910	1910	78.0
gb|GEER01012711.1|	gb|GEER01012711.1| TSA: Camellia reticulata CRD_FL_c47661_g1_i1 transcribed RNA sequence	2506	2506	86.0
gb|GEER01007585.1|	gb|GEER01007585.1| TSA: Camellia reticulata CRD_LB_c49829_g1_i1 transcribed RNA sequence	2021	2021	76.0
gb|GEER01014386.1|	gb|GEER01014386.1| TSA: Camellia reticulata CRD_FL_c52728_g2_i1 transcribed RNA sequence	4017	4017	81.0
gb|GEER01003376.1|	gb|GEER01003376.1| TSA: Camellia reticulata CRD_FL_c52786_g3_i2 transcribed RNA sequence	2138	2138	79.0
gb|GEER01010212.1|	gb|GEER01010212.1| TSA: Camellia reticulata CRD_FB_c25232_g2_i2 transcribed RNA sequence	2279	2279	80.0
gb|GEER01013893.1|	gb|GEER01013893.1| TSA: Camellia reticulata CRD_FL_c51852_g3_i1 transcribed RNA sequence	2926	2926	83.0
gb|GEER01011309.1|	gb|GEER01011309.1| TSA: Camellia reticulata CRD_FB_c39908_g3_i2 transcribed RNA sequence	3227	3227	84.0
gb|GEER01014162.1|	gb|GEER01014162.1| TSA: Camellia reticulata CRD_FL_c52332_g1_i2 transcribed RNA sequence	5434	5434	84.0
gb|GEER01014163.1|	gb|GEER01014163.1| TSA: Camellia reticulata CRD_FL_c52332_g1_i3 transcribed RNA sequence	3075	3075	85.0
gb|GEER01004653.1|	gb|GEER01004653.1| TSA: Camellia reticulata CRD_FR_c28751_g1_i1 transcribed RNA sequence	2222	2222	78.0
gb|GEER01005673.1|	gb|GEER01005673.1| TSA: Camellia reticulata CRD_FR_c33790_g1_i2 transcribed RNA sequence	2335	2335	81.0
gb|GEER01003060.1|	gb|GEER01003060.1| TSA: Camellia reticulata CRD_FL_c51707_g7_i1 transcribed RNA sequence	2981	2981	85.0
gb|GEER01013385.1|	gb|GEER01013385.1| TSA: Camellia reticulata CRD_FL_c50701_g1_i2 transcribed RNA sequence	1832	1832	80.0
gb|GEER01013384.1|	gb|GEER01013384.1| TSA: Camellia reticulata CRD_FL_c50701_g1_i1 transcribed RNA sequence	1457	1457	80.0
gb|GEER01003118.1|	gb|GEER01003118.1| TSA: Camellia reticulata CRD_FL_c51898_g1_i2 transcribed RNA sequence	2715	2715	84.0
gb|GEER01013813.1|	gb|GEER01013813.1| TSA: Camellia reticulata CRD_FL_c51705_g2_i5 transcribed RNA sequence	3103	3103	79.0
gb|GEER01001217.1|	gb|GEER01001217.1| TSA: Camellia reticulata CRD_FB_c40074_g1_i1 transcribed RNA sequence	3481	3481	77.0
gb|GEER01003096.1|	gb|GEER01003096.1| TSA: Camellia reticulata CRD_FL_c51828_g8_i2 transcribed RNA sequence	1895	1895	79.0
gb|GEER01009022.1|	gb|GEER01009022.1| TSA: Camellia reticulata CRD_ML_c84679_g1_i1 transcribed RNA sequence	1482	1482	84.0
gb|GEER01005012.1|	gb|GEER01005012.1| TSA: Camellia reticulata CRD_FR_c31215_g2_i1 transcribed RNA sequence	1972	1972	85.0
gb|GEER01010987.1|	gb|GEER01010987.1| TSA: Camellia reticulata CRD_FB_c38655_g12_i3 transcribed RNA sequence	1993	1993	79.0
gb|GEER01006185.1|	gb|GEER01006185.1| TSA: Camellia reticulata CRD_FR_c36677_g1_i1 transcribed RNA sequence	2515	2515	81.0
gb|GEER01002014.1|	gb|GEER01002014.1| TSA: Camellia reticulata CRD_FL_c42966_g1_i1 transcribed RNA sequence	1904	1904	82.0
gb|GEER01014546.1|	gb|GEER01014546.1| TSA: Camellia reticulata CRD_FL_c53002_g1_i2 transcribed RNA sequence	4305	4305	81.0
gb|GEER01014262.1|	gb|GEER01014262.1| TSA: Camellia reticulata CRD_FL_c52512_g1_i3 transcribed RNA sequence	2884	2884	85.0
